dog,dog_cdl_name,study,condition,choice_letter,test_trial_number,first_trial_fam..1.yes..followed.communicator.,first_trial_fam_type,first_B_box,age,sex,breed,fci_group,communicator,hider,correct
1,Quainty,2021,true_belief,B,7,1,displacement,blue,7,f,collie,1,LL,GPL,0
2,Aila2,2021,true_belief,B,7,1,displacement,brown,2,f,white_swiss_shepherd,1,LL,GPL,0
3,Ookami,2021,false_belief,B,7,1,displacement,blue,3,m,white_swiss_shepherd,1,LL,GPL,0
4,Gryffindor,2021,true_belief,B,7,1,no_displacement,brown,1,m,border_collie,1,LL,GPL,0
5,Akela,2021,false_belief,B,9,1,displacement,blue,2,m,australian_shepherd,1,LL,GPL,0
6,Finlay2,2021,false_belief,B,7,1,no_displacement,brown,5,m,golden_retriever,8,LL,GPL,0
7,Argo,2021,false_belief,B,7,1,displacement,blue,1,m,swiss_hound,6,LL,GPL,0
8,Grey,2021,true_belief,B,7,1,displacement,blue,1,f,labrador_retriever,8,LL,LB,0
9,Benny7,2021,false_belief,A,9,1,no_displacement,brown,5,m,border_collie,1,LL,LB,1
10,Achuk,2021,false_belief,B,7,1,no_displacement,brown,14,f,chesapeake_bay_retriever,8,LL,GPL,0
11,Elrond,2021,false_belief,A,7,1,displacement,blue,10,m,chesapeake_bay_retriever,8,LL,GPL,1
12,Bilbo,2021,true_belief,A,7,1,no_displacement,brown,2,m,chesapeake_bay_retriever,8,LL,GPL,1
13,Snoopy4,2021,true_belief,B,7,1,no_displacement,blue,6,m,australian_shepherd,1,LL,GPL,0
14,Siri,2021,true_belief,A,7,1,no_displacement,blue,3,f,border_collie,1,LL,GPL,1
15,Luna,2021,true_belief,B,7,1,no_displacement,blue,0.83,f,australian_shepherd,1,LL,GPL,0
16,Pascha1,2021,false_belief,A,7,1,displacement,brown,10,m,german_shepherd,1,LL,GPL,1
17,Paschi,2021,false_belief,B,9,1,displacement,blue,3,m,collie,1,LL,EPA,0
18,Elly,2021,true_belief,A,9,1,displacement,brown,9,f,border_collie,1,LL,AH,1
19,Gin,2021,true_belief,A,7,1,no_displacement,blue,0.42,f,german_shepherd,1,LL,EPA,1
20,Arkani,2021,true_belief,A,11,1,displacement,brown,5,m,belgian_shepherd,1,LL,EPA,1
21,Giulietta,2021,false_belief,B,7,1,displacement,brown,3,f,white_swiss_shepherd,1,LL,AH,0
22,Emily,2021,true_belief,B,7,1,no_displacement,brown,11,f,border_collie,1,LL,GPL,0
23,Juna,2021,false_belief,A,11,1,no_displacement,brown,4,f,flat_coated_retriever,8,LL,GPL,1
24,Vega,2021,false_belief,A,7,1,displacement,blue,0.67,f,border_collie,1,LL,GPL,1
25,Anubis2,2021,false_belief,B,9,1,displacement,blue,6,m,belgian_shepherd,1,LL,GPL,0
26,Aruba,2021,false_belief,A,7,1,no_displacement,brown,7,f,border_collie,1,LL,GPL,1
27,Baxi,2021,true_belief,B,9,1,no_displacement,brown,11,f,labrador_retriever,8,LL,GPL,0
28,Amy16b,2021,false_belief,B,7,1,no_displacement,blue,7,f,australian_shepherd,1,LL,GPL,0
29,Sepp,2021,true_belief,B,7,1,displacement,brown,7,m,beagle,6,LL,GPL,0
30,Riu,2021,false_belief,A,10,1,displacement,blue,2,f,australian_shepherd,1,LL,SV,1
31,Future Dream,2021,false_belief,B,7,1,displacement,brown,4,f,border_collie,1,LL,SV,0
32,Romeo,2021,true_belief,B,7,1,no_displacement,brown,7,m,vizsla,7,LL,SV,0
33,Monty2,2021,true_belief,A,9,1,no_displacement,blue,10,m,border_collie,1,LL,SV,1
34,Rocket,2021,true_belief,B,7,1,no_displacement,brown,1,m,saluki,10,LL,GP,0
35,Coco3,2021,false_belief,B,7,1,no_displacement,brown,4,f,siberian_husky,5,LL,GP,0
36,Kex,2021,true_belief,A,9,0,displacement,blue,7,m,labrador_retriever,8,LL,GP,1
37,Zookie,2021,true_belief,A,7,1,no_displacement,blue,4,f,parson_russell_terrier,3,LL,GP,1
38,Finley,2021,true_belief,B,7,1,displacement,brown,2,m,shetland_sheepdog,1,LL,GP,0
39,Blue5,2021,true_belief,A,9,1,displacement,brown,6,f,australian_shepherd,1,LL,SV,1
40,Fibi6,2021,false_belief,A,7,1,no_displacement,blue,6,f,shetland_sheepdog,1,LL,SV,1
41,Max,2021,true_belief,B,7,1,no_displacement,brown,5,m,german_shepherd,1,LL,SV,0
42,Prim,2021,true_belief,A,7,1,no_displacement,blue,4,f,shetland_sheepdog,1,LL,SV,1
43,Nelson,2021,false_belief,A,7,1,no_displacement,brown,5,m,labrador_retriever,8,LL,SV,1
44,Lucy12,2021,false_belief,A,9,1,displacement,brown,1,f,labrador_retriever,8,LL,SV,1
45,Emma10,2021,false_belief,A,9,1,displacement,blue,4,f,labrador_retriever,8,LL,SV,1
46,Travis,2021,true_belief,B,7,1,no_displacement,blue,5,m,siberian_husky,5,LL,SV,0
47,Magic2,2021,false_belief,A,7,1,no_displacement,brown,4,m,shetland_sheepdog,1,LL,SV,1
48,Holly6,2021,false_belief,B,7,1,no_displacement,blue,3,f,beagle,6,LL,GPL,0
49,Mozart2,2021,false_belief,B,7,1,no_displacement,blue,5,m,fox_terrier,3,LL,GP,0
50,Damon,2021,false_belief,A,9,1,no_displacement,blue,10,m,whippet,10,LL,GPL,1
51,Nala9,2021,false_belief,B,7,1,displacement,blue,5,f,border_collie,1,LL,SV,0
52,Bella6,2021,true_belief,B,7,1,displacement,blue,2,f,australian_shepherd,1,LL,SV,0
53,Chelsea,2021,true_belief,B,7,1,displacement,brown,12,f,labrador_retriever,8,LL,SV,0
54,Rhya,2021,true_belief,B,11,0,displacement,brown,7,f,golden_retriever,8,LL,SV,0
55,Milo6,2021,true_belief,B,7,1,no_displacement,blue,4,m,golden_retriever,8,LL,SV,0
56,Candy7,2021,false_belief,A,7,1,displacement,brown,1,f,airedale_terrier,3,LL,SV,1
57,Nana2,2021,true_belief,B,7,1,displacement,brown,9,f,shetland_sheepdog,1,LL,GP,0
58,Finchen,2021,true_belief,A,7,1,displacement,blue,7,f,shetland_sheepdog,1,LL,GP,1
59,Mo2,2021,false_belief,B,7,1,no_displacement,brown,1,m,border_collie,1,LL,GP,0
60,Destiny1,2021,true_belief,A,7,1,no_displacement,blue,7,f,coonhound,6,LL,SV,1
61,Lea3,2021,false_belief,B,7,1,displacement,brown,5,f,parson_russell_terrier,3,LL,SV,0
62,Henry2,2021,true_belief,B,9,1,displacement,blue,5,m,irish_setter,7,LL,SV,0
63,Mala2,2021,false_belief,A,7,1,no_displacement,blue,4,f,vizsla,7,LL,SV,1
64,Lori,2021,true_belief,A,7,1,no_displacement,brown,2,f,australian_shepherd,1,LL,SV,1
65,Tara 2,2021,false_belief,A,9,1,displacement,brown,5,f,australian_shepherd,1,LL,SV,1
66,SukaSevilla,2021,true_belief,B,7,1,displacement,blue,10,f,spanish_greyhound,10,LL,SV,0
67,Leia,2021,false_belief,A,7,1,no_displacement,brown,8,f,beagle,6,LL,SV,1
68,Oskar2,2021,false_belief,B,7,1,displacement,brown,7,m,vizsla,7,LL,SV,0
69,Aramis5,2021,true_belief,B,7,1,displacement,blue,7,m,giant_schnauzer,2,LL,SV,0
70,Casull,2021,true_belief,B,7,1,displacement,brown,5,m,weimaraner,7,LL,GP,0
71,Jeffry,2021,false_belief,A,9,1,no_displacement,blue,0.83,m,weimaraner,7,LL,GP,1
72,Cassiopeia,2021,false_belief,B,7,0,no_displacement,blue,10,f,saluki,10,LL,GP,0
73,Anouk,2021,false_belief,B,9,1,displacement,blue,9,f,saluki,10,LL,GP,0
74,Daisy4,2021,true_belief,B,7,1,displacement,brown,4,f,vizsla,7,LL,GP,0
75,Hugo3,2021,false_belief,B,7,1,no_displacement,brown,11,m,bernese_mountain_dog,2,LL,JK,0
76,Amelie,2021,true_belief,B,10,0,no_displacement,blue,8,f,bullmastiff,2,LL,JK,0
77,Reese,2021,false_belief,B,7,1,no_displacement,blue,10,f,german_shepherd,1,LL,JK,0
78,Milow4,2021,false_belief,A,7,1,displacement,blue,1,m,irish_setter,7,LL,JK,1
79,Ziva2,2021,true_belief,A,7,1,displacement,blue,9,f,samoyed,5,LL,SV,1
80,Amina,2021,false_belief,A,7,1,displacement,brown,1,f,rhodesian_ridgeback,6,LL,SV,1
81,Zoe5,2021,true_belief,A,7,1,no_displacement,brown,2,f,rhodesian_ridgeback,6,LL,SV,1
82,Lucy14,2021,true_belief,B,7,1,displacement,brown,1,f,beagle,6,SV,LL,0
83,Chomsky,2021,false_belief,A,7,1,no_displacement,brown,4,m,rottweiler,2,SV,LL,1
84,Enzo,2021,true_belief,B,7,1,displacement,brown,11,m,golden_retriever,8,SV,LL,0
85,Soleil,2021,false_belief,B,9,1,no_displacement,blue,2,f,white_swiss_shepherd,1,SV,LL,0
86,Odessa,2021,true_belief,A,9,1,displacement,brown,4,f,white_swiss_shepherd,1,SV,LL,1
87,Dolly,2021,true_belief,B,7,1,no_displacement,blue,9,f,white_swiss_shepherd,1,SV,LL,0
88,Maybe,2021,false_belief,B,7,1,displacement,blue,2,f,parson_russell_terrier,3,SV,LL,0
89,Zuri,2021,false_belief,B,7,1,displacement,blue,10,f,rhodesian_ridgeback,6,SV,LL,0
