dog_ID,dog_cdl_name,fam_phase_2_first_trial_type,fam_phase_3_first_trial_type,condition,breed,sex,castrated,FCI_group,birthdate,test_date,age_months,experience_in_dog_sport,hider,communicator,nr_fam_phase1_trials,nr_fam_phase2_trials,nr_fam_phase3_trials,fam_3_choice_first_relocation_trial,no_choice_trials,tot_nr_fam_trials,choice_letter,choice_colour,breed_recoded,breed_type,training,experimenter_dyad,first_baited_box,z.age,sex.c,condition.c,breed_type.c,first_baited_box.c,training.c
1,Ringo,no_displacement,displacement,control,romagna_water_dog,m,yes,8,15/11/2018,11/09/2024,69,no,VB,LL,2,2,2,B,no,6,A,grey,romagna_water_dog,cooperative,no,LL_VB,grey,0.25079557435628624,0.5416666666666667,-1,-0.125,0.5,-0.75
2,Lina4,displacement,displacement,false_belief,shetland_sheepdog,f,yes,1,10/09/2019,10/09/2024,60,"mantrailing, rally obedience",VB,LL,4,2,2,B,no,8,A,blue,shetland_sheepdog,cooperative,yes,LL_VB,blue,0.004447943337833219,-0.45833333333333326,0,-0.125,-0.5,0.25
3,Benny7,displacement,displacement,false_belief,border_collie,m,no,1,28/06/2013,07/10/2024,135,"dog_dance, shepherd_training",VB,LL,4,2,2,B,no,8,A,blue,border_collie,cooperative,yes,LL_VB,blue,2.0573448684916085,0.5416666666666667,0,-0.125,-0.5,0.25
4,EltonJohn,displacement,no_displacement,false_belief,border_collie,m,no,1,24/03/2022,07/10/2024,30,"dog_dance, shepherd_training",VB,LL,2,2,2,B,no,6,B,blue,border_collie,cooperative,yes,LL_VB,grey,-0.8167108267236769,0.5416666666666667,0,-0.125,0.5,0.25
5,Bucky,displacement,no_displacement,knowledge,appenzell_cattle_dog,m,yes_chip,2,12/02/2022,17/09/2024,31,no,VB,LL,2,3,2,B,2_in_fam_phase_2,7,B,blue,appenzell_cattle_dog,cooperative,no,LL_VB,grey,-0.7893388677216265,0.5416666666666667,1,-0.125,0.5,-0.75
6,Bailey6,displacement,displacement,false_belief,labrador_retriever,f,yes,8,01/08/2017,18/10/2024,86,"mantrailing, dummy",VB,CH,2,2,2,B,no,6,A,blue,labrador_retriever,cooperative,yes,CH_VB,blue,0.716118877391142,-0.45833333333333326,0,-0.125,-0.5,0.25
7,Terence,no_displacement,displacement,false_belief,welsh_corgi_pembroke,m,yes,1,28/03/2019,19/10/2024,66,"lure_training, agility, shepherd_training",GR,VB,2,2,2,B,no,6,B,blue,welsh_corgi,cooperative,yes,VB_GR,grey,0.16867969735013524,0.5416666666666667,0,-0.125,0.5,0.25
8,Woody2,no_displacement,displacement,false_belief,irish_setter,m,no,7,26/04/2019,22/10/2024,65,"mantrailing, obedience, breed_exhibitions, hunting",VB,LL,2,2,2,B,no,6,A,grey,irish_setter,cooperative,yes,LL_VB,grey,0.1413077383480849,0.5416666666666667,0,-0.125,0.5,0.25
9,Ellie,displacement,no_displacement,control,welsh_corgi,f,yes,1,09/09/2020,17/10/2024,49,no,GR,VB,2,3,2,B,no,7,A,grey,welsh_corgi,cooperative,no,VB_GR,grey,-0.2966436056847205,-0.45833333333333326,-1,-0.125,0.5,-0.75
10,Kosmo,no_displacement,displacement,control,welsh_corgi,m,no,1,08/02/2022,17/10/2024,32,no,GR,VB,4,2,3,A,no,9,A,blue,welsh_corgi,cooperative,no,VB_GR,blue,-0.7619669087195763,0.5416666666666667,-1,-0.125,-0.5,-0.75
